time,ping,shangzhang,xiadie,shangzhanglv,zhangting,kaiban,dieting,fengbanlv,zhangdietingbi,lianbanshu,maxlimitmarket,y_lianbankaipanavg,y_lianbanavg,y_shangzhanglv
2018-03-13 00:00:00,1260,934,1324,0.2654917566799318,33,44,3,0.5714285714285714,11.0,6,300624,0.2553241933320393,0.13634023238173015,0.5384615384615384
2018-03-14 00:00:00,594,686,2238,0.19499715747583854,15,17,1,0.53125,15.0,6,300624,0.16853781181844166,0.04888025177516494,0.42105263157894735
2018-03-15 00:00:00,487,947,2084,0.26918703808982375,21,14,1,0.4,21.0,6,300624,-0.03960647925466403,0.1951248836596302,0.55
2018-03-16 00:00:00,725,1320,1473,0.3752131893121092,45,28,1,0.3835616438356164,45.0,7,300624,0.4342757332790096,0.5947728138110457,0.8333333333333334
2018-03-19 00:00:00,675,1859,984,0.5284252416145537,38,32,4,0.45714285714285713,9.5,8,300624,0.27872339135047486,0.2983418527501049,0.6382978723404256
2018-03-20 00:00:00,868,1634,1016,0.46446844798180786,57,31,2,0.3522727272727273,28.5,9,300624,0.17904609544588815,0.32498526126520544,0.75
2018-03-21 00:00:00,1274,999,1245,0.2839681637293917,43,53,2,0.5520833333333334,21.5,5,000151,0.374067309164729,0.2945356962346687,0.65
2018-03-22 00:00:00,544,1543,1431,0.43860147811256395,56,29,2,0.3411764705882353,28.0,6,000151,0.24829567260897809,0.41689039707586895,0.6808510638297872
2018-03-23 00:00:00,382,196,2940,0.0557134735645253,34,44,424,0.5641025641025641,0.08018867924528301,4,600113,-0.01632383327700103,0.09925363462754112,0.5666666666666667
2018-03-26 00:00:00,395,2407,716,0.6841955656623081,68,39,5,0.3644859813084112,13.6,4,600113,0.31188871532740714,0.17613625461701457,0.6666666666666666
2018-03-27 00:00:00,398,3061,59,0.8700966458214895,99,66,1,0.4,99.0,5,300598,0.3541381707324669,0.5403540673485447,0.9436619718309859
2018-03-28 00:00:00,1354,1079,1085,0.30670835702103466,48,65,13,0.5752212389380531,3.6923076923076925,5,300598,0.21218238426191366,0.1081993011930032,0.58
2018-03-29 00:00:00,673,2460,385,0.6992609437180216,52,44,3,0.4583333333333333,17.333333333333332,5,300598,0.3280069533573849,0.11827507869474597,0.5192307692307693
2018-03-30 00:00:00,748,2497,273,0.7097782831154065,68,48,0,0.41379310344827586,1,5,300667,0.27206895937534076,0.37919706392301145,0.6842105263157895
2018-04-02 00:00:00,1040,1595,883,0.4533826037521319,67,72,2,0.5179856115107914,33.5,6,300667,0.4531715089861574,0.43166104656047594,0.8055555555555556
2018-04-03 00:00:00,693,862,1963,0.2450255827174531,44,33,4,0.42857142857142855,11.0,6,300667,0.19405157611243967,0.24775779361065386,0.6086956521739131
2018-04-04 00:00:00,850,1088,1580,0.30926662876634453,52,59,2,0.5315315315315315,26.0,6,300667,0.5650454999385802,0.3691442012625054,0.6530612244897959
2018-04-09 00:00:00,549,1578,1391,0.44855031267765777,70,46,3,0.39655172413793105,23.333333333333332,7,300598,0.28282039919250707,0.4274088055286897,0.6842105263157895
2018-04-10 00:00:00,868,1839,811,0.522740193291643,48,49,32,0.5051546391752577,1.5,8,300598,0.3504833366438404,0.025149740534773424,0.5
2018-04-11 00:00:00,907,2071,540,0.5886867538374077,57,45,0,0.4411764705882353,1,7,002864,0.2813325445468305,0.21222977530335033,0.5818181818181818
2018-04-12 00:00:00,853,971,1694,0.27600909607731666,42,36,9,0.46153846153846156,4.666666666666667,6,300487,0.19630415834830828,0.12174993199291138,0.5573770491803278
2018-04-13 00:00:00,643,1238,1637,0.3519044911881751,23,30,16,0.5660377358490566,1.4375,5,300634,0.1689122983207369,-0.2180068864143149,0.38636363636363635
2018-04-16 00:00:00,450,991,2077,0.2816941444002274,45,31,15,0.40789473684210525,3.0,6,300634,-0.02842896681051189,-0.043256572806702615,0.48
2018-04-17 00:00:00,481,413,2624,0.11739624786810687,16,22,23,0.5789473684210527,0.6956521739130435,7,300634,0.35301404954894533,-0.2324174602203965,0.3695652173913043
2018-04-18 00:00:00,356,2339,823,0.6648664013644116,41,42,7,0.5060240963855421,5.857142857142857,8,300634,-0.012084576624028778,0.1947155399806763,0.625
2018-04-19 00:00:00,957,1695,866,0.48180784536668564,22,45,1,0.6716417910447762,22.0,9,300634,0.2864340092560439,0.10027525833388053,0.6097560975609756
2018-04-20 00:00:00,664,362,2492,0.10289937464468447,17,13,31,0.43333333333333335,0.5483870967741935,4,002806,-0.046642068671823626,0.1118239572253125,0.6818181818181818
2018-04-23 00:00:00,364,1266,1888,0.3598635588402501,25,24,30,0.4897959183673469,0.8333333333333334,5,002806,0.24085689768357296,0.21633004087335858,0.7647058823529411
2018-04-24 00:00:00,323,3059,136,0.8695281409891984,82,27,1,0.24770642201834864,82.0,6,002806,0.2818386104707493,0.621119894166829,0.96
2018-04-25 00:00:00,1456,1711,351,0.48635588402501423,54,38,3,0.41304347826086957,18.0,6,002806,0.2124020544455584,0.3302148160318145,0.7682926829268293
2018-04-26 00:00:00,850,382,2286,0.10858442296759523,26,23,27,0.46938775510204084,0.9629629629629629,6,002806,0.24994886081299217,-0.023945690365780963,0.38181818181818183
2018-04-27 00:00:00,366,1941,1211,0.5517339397384877,17,31,26,0.6458333333333334,0.6538461538461539,2,600536,0.1539954430709386,-0.4313689505760022,0.32142857142857145
